City,Population,Plant,HCN_Result,ac1.3,ac2.2,ac5.3,li4.0,li7.0,li9.3,haplotype_Ac,haplotype_Li,haplotype_all,Distance,Habitat
NewYork,41,14,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,37.2897571473098,Rural
NewYork,42,2,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,36.2545261897736,Rural
NewYork,44,2,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,40.3632024052661,Rural
NewYork,44,7,0,1,1,1,0,1,1,Ac,li6.6,Ac-li6.6,40.3632024052661,Rural
NewYork,46,6,0,1,1,1,1,1,0,Ac,unk,Ac-unk,42.3436328071662,Rural
NewYork,47,12,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,43.3469629413433,Rural
NewYork,47,14,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,43.3469629413433,Rural
NewYork,48,13,0,0,1,1,1,1,0,ac2.2,unk,ac2.2-unk,43.9286713889297,Rural
NewYork,28,6,0,1,1,1,0,1,1,Ac,li6.6,Ac-li6.6,7.04751642234848,Urban
NewYork,29,4,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,5.53702691958241,Urban
NewYork,29,17,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,5.53702691958241,Urban
NewYork,29,18,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,5.53702691958241,Urban
NewYork,30,6,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,5.01723805006211,Urban
NewYork,30,8,0,0,1,1,0,0,1,ac2.2,li9.1,ac2.2-li9.1,5.01723805006211,Urban
NewYork,30,11,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,5.01723805006211,Urban
NewYork,30,13,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,5.01723805006211,Urban
NewYork,30,15,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,5.01723805006211,Urban
NewYork,30,20,0,1,1,1,0,0,0,Ac,li>11,Ac-li>11,5.01723805006211,Urban
NewYork,32,1,0,0,0,1,0,1,0,ac5.3,li6.6DD,ac5.3-li6.6DD,3.72519497610314,Urban
NewYork,32,2,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,3.72519497610314,Urban
NewYork,32,13,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,3.72519497610314,Urban
NewYork,33,11,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,2.89105173395865,Urban
NewYork,34,3,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,1.95897338839529,Urban
NewYork,34,4,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,1.95897338839529,Urban
NewYork,34,10,0,1,1,1,0,0,1,Ac,li9.1,Ac-li9.1,1.95897338839529,Urban
NewYork,34,14,0,0,0,1,0,0,0,ac5.3,li>11,ac5.3-li>11,1.95897338839529,Urban
NewYork,35,4,0,1,1,1,0,1,1,Ac,li6.6,Ac-li6.6,1.1624389651877,Urban
NewYork,36,5,0,0,0,1,0,0,0,ac5.3,li>11,ac5.3-li>11,2.68675700602227,Urban
