STATION,STATION_NAME,City,ELEVATION,LATITUDE,LONGITUDE,Date,Year,Month,Day,PRCP,SNWD,SNWDcm,SNOW,SNOWcm,TMAX,TMIN
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-20,1981,1,20,0,152,15.2,0,0,1.1,-5
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-21,1981,1,21,0,127,12.7,0,0,-1.7,-3.9
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-22,1981,1,22,0,127,12.7,0,0,3.3,-3.9
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-23,1981,1,23,0,127,12.7,0,0,1.1,-5
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-24,1981,1,24,0,127,12.7,0,0,1.7,-9.4
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-25,1981,1,25,0,127,12.7,0,0,5.6,-10
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-26,1981,1,26,0,76,7.6,0,0,7.8,1.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-27,1981,1,27,0.3,0,0,3,0.3,2.2,-1.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-28,1981,1,28,0.5,0,0,5,0.5,-0.6,-4.4
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-29,1981,1,29,0,0,0,0,0,-2.2,-10
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-30,1981,1,30,0,0,0,0,0,-4.4,-12.8
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-31,1981,1,31,0,0,0,0,0,-3.3,-16.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-01,1981,2,1,17.8,0,0,58,5.8,2.8,-3.9
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-02,1981,2,2,3,25,2.5,41,4.1,-1.1,-15
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-03,1981,2,3,0,51,5.1,0,0,-12.2,-17.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-04,1981,2,4,0,25,2.5,0,0,-10,-16.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-05,1981,2,5,0,25,2.5,0,0,-6.7,-17.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-06,1981,2,6,1.3,25,2.5,18,1.8,-1.1,-6.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-07,1981,2,7,0,25,2.5,0,0,2.2,-7.8
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-08,1981,2,8,0,25,2.5,0,0,-2.2,-10.6
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-09,1981,2,9,0,25,2.5,0,0,-3.9,-10.6
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-10,1981,2,10,31.5,25,2.5,206,20.6,5.6,-10
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-11,1981,2,11,7.6,102,10.2,13,1.3,5.6,-16.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-12,1981,2,12,0,102,10.2,0,0,-10,-20
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-13,1981,2,13,0,102,10.2,0,0,-2.8,-14.4
