City,Population,Transect,Lat.pop,Long.pop
Pittsburgh,21,NA,40.616126,-80.056463
Pittsburgh,22,NA,40.601532,-80.049894
Pittsburgh,23,NA,40.587048,-80.045293
Pittsburgh,24,NA,40.574332,-80.037282
Pittsburgh,25,NA,40.561819,-80.039482
Pittsburgh,26,NA,40.547443,-80.037123
Pittsburgh,27,NA,40.5336,-80.036028
Pittsburgh,28,NA,40.517579,-80.03321
Pittsburgh,29,NA,40.504076,-80.022495
Pittsburgh,30,NA,40.491549,-80.022066
Pittsburgh,31,NA,40.481137,-80.013501
Pittsburgh,32,NA,40.47077,-80.009525
Pittsburgh,33,NA,40.456782,-80.006727
Pittsburgh,34,NA,40.453975,-80.002438
Pittsburgh,35,NA,40.441753,-80.007324
Pittsburgh,36,NA,40.443175,-80.004417
Pittsburgh,37,NA,40.441544,-80.005368
Pittsburgh,38,NA,40.447761,-79.986863
Pittsburgh,39,NA,40.45193,-79.981636
Pittsburgh,40,NA,40.44696,-79.993722
Cincinnati,1,NA,39.366827,-84.020703
Cincinnati,2,NA,39.357026,-84.033543
Cincinnati,3,NA,39.34524,-84.048586
Cincinnati,4,NA,39.331878,-84.063537
Cincinnati,5,NA,39.323291,-84.069526
Cincinnati,6,NA,39.312546,-84.079941
Cincinnati,7,NA,39.301649,-84.090497
Cincinnati,8,NA,39.293146,-84.099254
Cincinnati,9,NA,39.282152,-84.111027
Cincinnati,10,NA,39.266496,-84.119314
Cincinnati,11,NA,39.253498,-84.136122
Cincinnati,12,NA,39.243092,-84.145604
Cincinnati,13,NA,39.235726,-84.155689
Cincinnati,14,NA,39.231512,-84.163653
Cincinnati,15,NA,39.225866,-84.179901
Cincinnati,16,NA,39.217525,-84.196929
Cincinnati,17,NA,39.209516,-84.210937
Cincinnati,18,NA,39.20114,-84.224874
Cincinnati,19,NA,39.193718,-84.238368
Cincinnati,20,NA,39.189354,-84.257985
Cincinnati,21,NA,39.18249,-84.273403
Cincinnati,22,NA,39.177307,-84.288689
Cincinnati,23,NA,39.168552,-84.302184
Cincinnati,24,NA,39.165079,-84.318916
Cincinnati,25,NA,39.159824,-84.335168
Cincinnati,26,NA,39.16048,-84.346386
Cincinnati,27,NA,39.160761,-84.365758
Cincinnati,28,NA,39.160015,-84.38375
Cincinnati,29,NA,39.160526,-84.407989
Cincinnati,30,NA,39.155512,-84.42809
Cincinnati,31,NA,39.143464,-84.446282
Cincinnati,32,NA,39.131921,-84.463795
Cincinnati,33,NA,39.124878,-84.484797
Cincinnati,34,NA,39.112273,-84.491338
Cincinnati,35,NA,39.097099,-84.510977
Cincinnati,36,NA,39.103759,-84.520116
Cincinnati,37,NA,39.105944,-84.523561
Cincinnati,38,NA,39.110177,-84.517946
Cincinnati,39,NA,39.111454,-84.513041
Cincinnati,40,NA,39.107108,-84.504975
Detroit,1,NA,41.945849,-83.559168
Detroit,2,NA,41.961151,-83.548459
Detroit,3,NA,41.977974,-83.537119
Detroit,4,NA,41.994315,-83.528188
Detroit,5,NA,42.008715,-83.508652
Detroit,6,NA,42.021217,-83.496651
Detroit,7,NA,42.027746,-83.479652
Detroit,8,NA,42.041378,-83.474814
Detroit,9,NA,42.057909,-83.479858
Detroit,10,NA,42.072938,-83.45756
Detroit,11,NA,42.073288,-83.430717
Detroit,12,NA,42.087588,-83.425927
Detroit,13,NA,42.093644,-83.405507
Detroit,14,NA,42.093842,-83.372881
Detroit,15,NA,42.093975,-83.343918
Detroit,16,NA,42.094103,-83.319385
Detroit,17,NA,42.094692,-83.294274
Detroit,18,NA,42.111556,-83.283384
Detroit,19,NA,42.128548,-83.272336
Detroit,20,NA,42.142449,-83.262648
Detroit,21,NA,42.157999,-83.248588
Detroit,22,NA,42.174323,-83.237089
Detroit,23,NA,42.188654,-83.222529
Detroit,24,NA,42.202778,-83.206249
Detroit,25,NA,42.2177,-83.192863
Detroit,26,NA,42.234879,-83.194231
Detroit,27,NA,42.252086,-83.194316
Detroit,28,NA,42.267961,-83.182124
Detroit,29,NA,42.282787,-83.169965
Detroit,30,NA,42.291429,-83.144939
Detroit,31,NA,42.300214,-83.120134
Detroit,32,NA,42.308343,-83.095935
Detroit,33,NA,42.313886,-83.082222
Detroit,34,NA,42.32272,-83.066421
Detroit,35,NA,42.327891,-83.045662
Detroit,36,NA,42.331223,-83.032033
Detroit,37,NA,42.332419,-83.043192
Detroit,38,NA,42.337377,-83.049865
Detroit,39,NA,42.332606,-83.054864
Detroit,40,NA,42.336963,-83.061701
Toronto,1,A,44.0302644,-79.52738917
Toronto,2,A,44.01968437,-79.52537587
Toronto,3,A,44.01056937,-79.52316198
Toronto,4,A,43.99906923,-79.51997222
Toronto,5,A,43.99338264,-79.51925626
Toronto,6,A,43.98568084,-79.51690128
Toronto,7,A,43.9776803,-79.51558202
Toronto,8,A,43.96956954,-79.51282817
Toronto,9,A,43.95736342,-79.51063671
Toronto,10,A,43.95194554,-79.50947256
Toronto,11,A,43.94275656,-79.50682589
Toronto,12,A,43.93385552,-79.50470828
Toronto,13,A,43.92441239,-79.50305515
Toronto,14,A,43.91588458,-79.50046785
Toronto,15,A,43.90683218,-79.49874497
Toronto,16,A,43.89755568,-79.49655792
Toronto,17,A,43.888435,-79.49435467
Toronto,18,A,43.8811002,-79.49240805
Toronto,19,A,43.87065459,-79.48960918
Toronto,20,A,43.86150469,-79.48793643
Toronto,21,A,43.85038448,-79.48520713
Toronto,22,A,43.83598273,-79.48183193
Toronto,23,A,43.82418131,-79.47900514
Toronto,24,A,43.81359026,-79.47643065
Toronto,25,A,43.80455856,-79.47471928
Toronto,26,A,43.79253295,-79.47182664
Toronto,27,A,43.78137166,-79.47130456
Toronto,28,A,43.77236212,-79.46798618
Toronto,29,A,43.76264866,-79.46586661
Toronto,30,A,43.75188371,-79.46404388
Toronto,31,A,43.74526825,-79.43615832
Toronto,32,A,43.7369396,-79.43353511
Toronto,33,A,43.72485836,-79.43082152
Toronto,34,A,43.7147905,-79.42897945
Toronto,35,A,43.70414094,-79.42665935
Toronto,36,A,43.69416336,-79.42296751
Toronto,37,A,43.68315226,-79.41975321
Toronto,38,A,43.67198534,-79.41420663
Toronto,39,A,43.66346793,-79.41200875
Toronto,40,A,43.6571995,-79.40756003
Toronto,41,A,43.64994276,-79.404773
Toronto,42,A,43.64299751,-79.40337219
Toronto,43,A,43.63471312,-79.39920481
