OVERALL_ID,City,Pop,Transect,Pop_ID,Latitude,Longitude,DistToCore,PopDens,NumPlants,NumCyanogenic,PropCyanogenic,NumAcyanogenic,PropAcyanogenic,NumAcyScreened_Linamarin,NumAcy_Linamarin,PropAcy_Linamarin,TotalScreened_Linamarin,TotalProp_Linamarin,NumAcyScreened_Linamarase,NumAcy_Linamarase,PropAcy_Linamarase,TotalScreened_Linamarase,TotalProp_Linamarase
50,T,50,,T-50,43.93976008,-79.01063322,43.30257991,24.63247,13,8,0.615384615,5,0.384615385,5,4,0.8,13,0.923076923,0,0,,,
51,T,51,B,T-51,43.66677071,-79.58811171,16.75883461,175.88289,20,3,0.15,17,0.85,0,0,,,,17,0,0,20,0.15
52,T,52,B,T-52,43.65359237,-79.59483319,17.26161347,136.96825,20,8,0.4,12,0.6,12,12,1,20,1,0,0,,,
53,T,53,B,T-53,43.65254421,-79.61222466,18.66286948,0,20,3,0.15,17,0.85,0,0,,,,15,2,0.133333333,18,0.277777778
54,T,54,B,T-54,43.64917643,-79.6210086,19.38120034,0,19,7,0.368421053,12,0.631578947,12,7,0.583333333,19,0.736842105,0,0,,,
55,T,55,B,T-55,43.64228065,-79.6307686,20.21078898,2.63986,20,4,0.2,16,0.8,0,0,,,,16,4,0.25,20,0.4
56,T,56,B,T-56,43.63520223,-79.63887687,20.93525291,0,20,4,0.2,16,0.8,16,10,0.625,20,0.7,0,0,,,
57,T,57,B,T-57,43.62759151,-79.650179,21.94681436,462.85559,19,2,0.105263158,17,0.894736842,0,0,,,,17,2,0.117647059,19,0.210526316
58,T,58,B,T-58,43.62269316,-79.66040198,22.84425427,4703.44775,20,4,0.2,16,0.8,16,7,0.4375,20,0.55,0,0,,,
59,T,59,B,T-59,43.61869318,-79.67039911,23.71311951,855.31268,20,4,0.2,16,0.8,0,0,,,,16,1,0.0625,20,0.25
60,T,60,B,T-60,43.61443904,-79.68222202,24.73542985,870.54932,18,8,0.444444444,10,0.555555556,10,6,0.6,18,0.777777778,0,0,,,
61,T,61,B,T-61,43.60973886,-79.6888543,25.36193198,2033.453,20,6,0.3,14,0.7,0,0,,,,14,4,0.285714286,20,0.5
62,T,62,B,T-62,43.59252008,-79.68810147,25.76439707,6432.54785,20,9,0.45,11,0.55,11,3,0.272727273,20,0.6,0,0,,,
63,T,63,B,T-63,43.58807494,-79.69810103,26.67613163,4805.04248,20,5,0.25,15,0.75,0,0,,,,15,5,0.333333333,20,0.5
